Found 5 files to process.
[INFO] pseudo_l=2, pseudo_use_abs=True
Processing: datasets/unsigned/n1000_m1_unsigned_tries10.txt
  Instance 1: verts=2884, edges=908523, greedy_size=537, pseudo_l=2, valid=True
  Instance 2: verts=3088, edges=1031448, greedy_size=555, pseudo_l=2, valid=True
  Instance 3: verts=2927, edges=995831, greedy_size=519, pseudo_l=2, valid=True
  Instance 4: verts=2784, edges=886897, greedy_size=521, pseudo_l=2, valid=True
  Instance 5: verts=2792, edges=849787, greedy_size=555, pseudo_l=2, valid=True
  Instance 6: verts=2885, edges=930266, greedy_size=495, pseudo_l=2, valid=True
  Instance 7: verts=2960, edges=923132, greedy_size=505, pseudo_l=2, valid=True
  Instance 8: verts=2890, edges=958876, greedy_size=508, pseudo_l=2, valid=True
  Instance 9: verts=2900, edges=931879, greedy_size=529, pseudo_l=2, valid=True
  Instance 10: verts=2903, edges=888258, greedy_size=548, pseudo_l=2, valid=True
Processing: datasets/unsigned/n3000_m1_unsigned_tries10.txt
  Instance 1: verts=9298, edges=9295395, greedy_size=1644, pseudo_l=2, valid=True
  Instance 2: verts=9274, edges=9916886, greedy_size=1642, pseudo_l=2, valid=True
  Instance 3: verts=8798, edges=8668611, greedy_size=1575, pseudo_l=2, valid=True
  Instance 4: verts=9451, edges=9561934, greedy_size=1624, pseudo_l=2, valid=True
  Instance 5: verts=9158, edges=9324368, greedy_size=1645, pseudo_l=2, valid=True
  Instance 6: verts=8556, edges=7867882, greedy_size=1658, pseudo_l=2, valid=True
  Instance 7: verts=8782, edges=8253767, greedy_size=1633, pseudo_l=2, valid=True
  Instance 8: verts=9008, edges=8333044, greedy_size=1619, pseudo_l=2, valid=True
  Instance 9: verts=8928, edges=8558736, greedy_size=1642, pseudo_l=2, valid=True
  Instance 10: verts=8972, edges=8130370, greedy_size=1701, pseudo_l=2, valid=True
Processing: datasets/unsigned/n5000_m1_unsigned_tries10.txt
  Instance 1: verts=14916, edges=23872403, greedy_size=2709, pseudo_l=2, valid=True
  Instance 2: verts=15321, edges=25128705, greedy_size=2748, pseudo_l=2, valid=True
  Instance 3: verts=15408, edges=25517469, greedy_size=2773, pseudo_l=2, valid=True
  Instance 4: verts=14969, edges=23886241, greedy_size=2725, pseudo_l=2, valid=True
  Instance 5: verts=15135, edges=24043001, greedy_size=2794, pseudo_l=2, valid=True
  Instance 6: verts=15101, edges=24302881, greedy_size=2739, pseudo_l=2, valid=True
  Instance 7: verts=15072, edges=24466336, greedy_size=2724, pseudo_l=2, valid=True
  Instance 8: verts=14594, edges=23309635, greedy_size=2686, pseudo_l=2, valid=True
  Instance 9: verts=14774, edges=25256063, greedy_size=2589, pseudo_l=2, valid=True
  Instance 10: verts=14812, edges=23725573, greedy_size=2612, pseudo_l=2, valid=True
Processing: datasets/unsigned/n500_m1_unsigned_tries10.txt
  Instance 1: verts=1457, edges=267026, greedy_size=262, pseudo_l=2, valid=True
  Instance 2: verts=1296, edges=184640, greedy_size=255, pseudo_l=2, valid=True
  Instance 3: verts=1255, edges=199245, greedy_size=241, pseudo_l=2, valid=True
  Instance 4: verts=1465, edges=246217, greedy_size=253, pseudo_l=2, valid=True
  Instance 5: verts=1307, edges=191500, greedy_size=239, pseudo_l=2, valid=True
  Instance 6: verts=1523, edges=270092, greedy_size=273, pseudo_l=2, valid=True
  Instance 7: verts=1640, edges=305713, greedy_size=301, pseudo_l=2, valid=True
  Instance 8: verts=1613, edges=324642, greedy_size=287, pseudo_l=2, valid=True
  Instance 9: verts=1431, edges=195466, greedy_size=267, pseudo_l=2, valid=True
  Instance 10: verts=1417, edges=210891, greedy_size=285, pseudo_l=2, valid=True
Processing: datasets/unsigned/n7000_m1_unsigned_tries10.txt
  Instance 1: verts=20865, edges=48656805, greedy_size=3735, pseudo_l=2, valid=True
  Instance 2: verts=21048, edges=47569224, greedy_size=3716, pseudo_l=2, valid=True
  Instance 3: verts=20860, edges=47742352, greedy_size=3824, pseudo_l=2, valid=True
  Instance 4: verts=20340, edges=46444827, greedy_size=3751, pseudo_l=2, valid=True
  Instance 5: verts=20893, edges=47432945, greedy_size=3801, pseudo_l=2, valid=True
  Instance 6: verts=21153, edges=49059704, greedy_size=3709, pseudo_l=2, valid=True
  Instance 7: verts=20971, edges=48167607, greedy_size=3747, pseudo_l=2, valid=True
  Instance 8: verts=20981, edges=46747087, greedy_size=3826, pseudo_l=2, valid=True
  Instance 9: verts=21223, edges=46176429, greedy_size=3841, pseudo_l=2, valid=True
  Instance 10: verts=21672, edges=51421758, greedy_size=3835, pseudo_l=2, valid=True
